chr1:12610581-12620582 for	chr1:12644296-12654297 rev
chr18:56476-73124 for	chr18:164426-181074 for
chr18:82254-101441 for	chr18:136300-155487 for
chr18:94116-108256 for	chr18:202084-216224 for
chr18:148162-155487 for	chr18:202084-209409 for
chr18:47426-55541 for	chr18:155488-163603 for
chr18:101442-108256 for	chr18:155488-162302 for
chr18:16747220-16754055 for	chr18:16754003-16760838 for
chr18:16828277-16835142 for	chr18:16830312-16837177 for
chr18:16871090-16877193 for	chr18:16877194-16883297 for
chr18:16908044-16914434 for	chr18:16917533-16923923 for
chr18:17176639-17184871 for	chr18:17184777-17193009 for
chr18:17281342-17305687 for	chr18:17305437-17329782 for
chr18:17924277-17929339 for	chr18:17930385-17935447 for
chr18:17952871-17959879 for	chr18:17954907-17961915 for
chr18:17950835-17959879 for	chr18:17954907-17963951 for
chr18:17978861-17984968 for	chr18:17980897-17987004 for
chr18:17985835-17991942 for	chr18:17987871-17993978 for
chr18:17987871-17995646 for	chr18:17993979-18001754 for
chr18:18042454-18047958 for	chr18:18044490-18049994 for
chr18:18047959-18054066 for	chr18:18070355-18076462 for
chr18:18048621-18054066 for	chr18:18071017-18076462 for
chr18:18071017-18077065 for	chr18:18079161-18085209 for
chr18:18087037-18093130 for	chr18:18372024-18378117 for
chr18:18217595-18224006 for	chr18:18282715-18289126 for
chr18:18282715-18289126 for	chr18:18606299-18612710 for
chr18:18095418-18102922 for	chr18:18233849-18241353 for
chr18:18233849-18241817 for	chr18:18284724-18292692 for
chr18:18114274-18119863 for	chr18:18592569-18598158 for
chr18:18097994-18106677 for	chr18:18592569-18601252 for
chr18:18127346-18132433 for	chr18:18131420-18136507 for
chr18:18151784-18157891 for	chr18:18164000-18170107 for
chr18:18158905-18163932 for	chr18:18167049-18172076 for
chr18:18169085-18174179 for	chr18:18348210-18353304 for
chr18:18173157-18178251 for	chr18:18346174-18351268 for
chr18:18178914-18184221 for	chr18:18347859-18353166 for
chr18:18191481-18197819 for	chr18:18364498-18370836 for
chr18:18199007-18205114 for	chr18:18581611-18587718 for
chr18:18210295-18215786 for	chr18:18574578-18580069 for
chr18:18217398-18227476 for	chr18:18606102-18616180 for
chr18:18233678-18241466 for	chr18:18606102-18613890 for
chr18:18225735-18233677 for	chr18:18598159-18606101 for
chr18:18392641-18398548 for	chr18:18598159-18604066 for
chr18:18216934-18225537 for	chr18:18227109-18235712 for
chr18:18227109-18233677 for	chr18:18599533-18606101 for
chr18:18227477-18241353 for	chr18:18278352-18292228 for
chr18:18229512-18241466 for	chr18:18278352-18290306 for
chr18:18221117-18227476 for	chr18:18241467-18247826 for
chr18:18241467-18250154 for	chr18:18601681-18610368 for
chr18:18419096-18425200 for	chr18:18614439-18620543 for
chr18:18292890-18298994 for	chr18:18614439-18620543 for
chr18:18221665-18227050 for	chr18:18242015-18247400 for
chr18:18242015-18247400 for	chr18:18602229-18607614 for
chr18:18623221-18630521 for	chr18:18627291-18634591 for
chr18:18619151-18626451 for	chr18:18627291-18634591 for
chr18:18264203-18272342 for	chr18:18610172-18618311 for
chr18:18420934-18428447 for	chr18:18616277-18623790 for
chr18:18294728-18300832 for	chr18:18616277-18622381 for
chr18:18114971-18123520 for	chr18:18273752-18282301 for
chr18:18098691-18106677 for	chr18:18273752-18281738 for
chr18:18276610-18284456 for	chr18:18380431-18388277 for
chr18:18380431-18387909 for	chr18:18590019-18597497 for
chr18:18229144-18241466 for	chr18:18277984-18290306 for
chr18:18277984-18290193 for	chr18:18280019-18292228 for
chr18:18408260-18418279 for	chr18:18410295-18420314 for
chr18:18406225-18416244 for	chr18:18410295-18420314 for
chr18:18302946-18308353 for	chr18:18646880-18652287 for
chr18:18443397-18448804 for	chr18:18646880-18652287 for
chr18:18379770-18387909 for	chr18:18589358-18597497 for
chr18:18384501-18390312 for	chr18:18388571-18394382 for
chr18:18392348-18398548 for	chr18:18597866-18604066 for
chr18:18402993-18414828 for	chr18:18610546-18622381 for
chr18:18256437-18261645 for	chr18:18610546-18615754 for
chr18:18404654-18425003 for	chr18:18406689-18427038 for
chr18:18416864-18429073 for	chr18:18612207-18624416 for
chr18:18414829-18425003 for	chr18:18612207-18622381 for
chr18:18422969-18433436 for	chr18:18630522-18640989 for
chr18:18626452-18632556 for	chr18:18630522-18636626 for
chr18:18424779-18431108 for	chr18:18605877-18612206 for
chr18:18605877-18614016 for	chr18:18632332-18640471 for
chr18:18441932-18450146 for	chr18:18702398-18710612 for
chr18:18643380-18650655 for	chr18:18702398-18709673 for
chr18:18455769-18462032 for	chr18:18722340-18728603 for
chr18:18666709-18678898 for	chr18:18733867-18746056 for
chr18:18485598-18492739 for	chr18:18501536-18508677 for
chr18:18488287-18494129 for	chr18:18764017-18769859 for
chr18:18696859-18702678 for	chr18:18764017-18769836 for
chr18:18493756-18499353 for	chr18:18511729-18517326 for
chr18:18498120-18507797 for	chr18:18773850-18783527 for
chr18:18508678-18514057 for	chr18:18784408-18789787 for
chr18:18519509-18530196 for	chr18:18795239-18805926 for
chr18:18532394-18540527 for	chr18:18808124-18816257 for
chr18:18219337-18227476 for	chr18:18599901-18608040 for
chr18:18599901-18608136 for	chr18:18608041-18616276 for
chr18:18241818-18250154 for	chr18:18602032-18610368 for
chr18:18602032-18612206 for	chr18:18628487-18638661 for
chr18:18604360-18614241 for	chr18:18640990-18650871 for
chr18:18423262-18431108 for	chr18:18640990-18648836 for
chr18:18618312-18632556 for	chr18:18622382-18636626 for
chr18:18229608-18239178 for	chr18:18278448-18288018 for
chr18:18278448-18288018 for	chr18:18280483-18290053 for
chr18:18652303-18659408 for	chr18:18709286-18716391 for
chr18:18656924-18663480 for	chr18:18724082-18730638 for
chr18:18663481-18684679 for	chr18:18730639-18751837 for
chr18:18684680-18694374 for	chr18:18751838-18761532 for
chr18:18694375-18702678 for	chr18:18761533-18769836 for
chr18:18711777-18718426 for	chr18:18719917-18726566 for
chr18:18485688-18490943 for	chr18:18777356-18782611 for
chr18:18501626-18506881 for	chr18:18777356-18782611 for
chr18:18689169-18694374 for	chr18:18756327-18761532 for
chr18:18486703-18492911 for	chr18:18756327-18762535 for
chr18:18757911-18765588 for	chr18:18760964-18768641 for
chr18:18886075-18892179 for	chr18:18898285-18904389 for
chr18:18896250-18901693 for	chr18:18898285-18903728 for
chr18:18885675-18891518 for	chr18:18895850-18901693 for
chr18:18897183-18903287 for	chr18:19231893-19237997 for
chr18:18976731-18981742 for	chr18:18983511-18988522 for
chr18:19011316-19018343 for	chr18:19021491-19028518 for
chr18:19043465-19050846 for	chr18:19047535-19054916 for
chr18:19070103-19078029 for	chr18:19112834-19120760 for
chr18:19071951-19078029 for	chr18:19114682-19120760 for
chr18:19088231-19095012 for	chr18:19114682-19121463 for
chr18:19075035-19088417 for	chr18:19099451-19112833 for
chr18:19143764-19149157 for	chr18:19158009-19163402 for
chr18:19195269-19200716 for	chr18:19276992-19282439 for
chr18:19200777-19205779 for	chr18:19230960-19235962 for
chr18:19201710-19207222 for	chr18:19233928-19239440 for
chr18:19207223-19220950 for	chr18:19241476-19255203 for
chr18:19246605-19251617 for	chr18:19254403-19259415 for
chr18:19262140-19267745 for	chr18:19266885-19272490 for
chr18:19344743-19350670 for	chr18:19346778-19352705 for
chr18:19368986-19375100 for	chr18:19383916-19390030 for
chr18:19375101-19383254 for	chr18:19390031-19398184 for
chr18:19444605-19449960 for	chr18:19450710-19456065 for
chr18:19495537-19501902 for	chr18:19502316-19508681 for
chr18:19539792-19546130 for	chr18:19543862-19550200 for
chr18:19711058-19716604 for	chr18:19720568-19726114 for
chr18:19933408-19938415 for	chr18:19948368-19953375 for
chr18:20805992-20811725 for	chr18:20814472-20820205 for
chr18:21088195-21095435 for	chr18:21102822-21110062 for
chr18:21095436-21102380 for	chr18:21110063-21117007 for
chr18:47156689-47165202 for	chr18:47162604-47171117 for
chr18:47162604-47174036 for	chr18:47198023-47209455 for
chr18:47160481-47171117 for	chr18:47195900-47206536 for
chr18:47195900-47203540 for	chr18:47201815-47209455 for
chr18:47162209-47168123 for	chr18:47197628-47203542 for
chr18:47174004-47179918 for	chr18:47197628-47203542 for
chr18:47186243-47192154 for	chr18:47203988-47209899 for
chr18:47156292-47166042 for	chr18:47209458-47219208 for
chr19:59402-64760 for	chr3:201038094-201043452 rev
chr19:64839-73626 for	chr3:201029229-201038016 rev
chr19:103703-110104 for	chr3:200992757-200999158 rev
chr19:7014629-7023908 for	chr19:7027242-7036521 rev
chr19:8759202-8765558 for	chr19:8774125-8780481 for
chr19:8834219-8840329 for	chr19:8841673-8847783 for
chr19:24832619-24840675 for	chr19:24841473-24849529 for
chr19:25068015-25073712 for	chr19:25103437-25109134 for
chr19:25079649-25099995 for	chr19:25115071-25135417 for
chr19:25414635-25425176 for	chr19:25430829-25441370 for
chr19:25415903-25421759 for	chr19:25432097-25437953 for
chr19:25450869-25457393 for	chr19:25456324-25462848 for
chr19:25488800-25494695 for	chr19:25494255-25500150 for
chr19:25494255-25502655 for	chr19:25505165-25513565 for
chr19:25490269-25500150 for	chr19:25501179-25511060 for
chr19:25554196-25561889 for	chr19:25602912-25610605 for
chr19:25547382-25555075 for	chr19:25602912-25610605 for
chr19:25548262-25568703 for	chr19:25596978-25617419 for
chr19:25555076-25565147 for	chr19:25603792-25613863 for
chr19:25561890-25571961 for	chr19:25603792-25613863 for
chr19:25586413-25592913 for	chr19:25607878-25614378 for
chr19:25572789-25579289 for	chr19:25607878-25614378 for
chr19:25565663-25571682 for	chr19:25579290-25585309 for
chr19:25875273-25880413 for	chr19:25882071-25887211 for
chr19:26095705-26103048 for	chr19:26113394-26120737 for
chr19:26110170-26117036 for	chr19:26130241-26137107 for
chr19:26376030-26382592 for	chr19:26384527-26391089 for
chr19:26400002-26406401 for	chr19:26403404-26409803 for
chr19:26440938-26447665 for	chr19:26470858-26477585 for
chr19:26446582-26453171 for	chr19:26453042-26459631 for
chr19:26473369-26478598 for	chr19:26478129-26483358 for
chr19:26538186-26547512 for	chr19:26568446-26577772 for
chr19:26540923-26551341 for	chr19:26551123-26561541 for
chr19:26651125-26663204 for	chr19:26663025-26675104 for
chr19:26752302-26757920 for	chr19:26758421-26764039 for
chr19:26806410-26812169 for	chr19:26973988-26979747 for
chr19:26814899-26820692 for	chr19:26982477-26988270 for
chr19:26878493-26884772 for	chr19:27045395-27051674 for
chr19:26868976-26875255 for	chr19:27045395-27051674 for
chr19:26877822-26885759 for	chr19:27044724-27052661 for
chr19:26898857-26905583 for	chr19:27066439-27073165 for
chr19:26927373-26936304 for	chr19:27095295-27104226 for
chr19:26936305-26946648 for	chr19:27104227-27114570 for
chr19:26956973-26964515 for	chr19:27126935-27134477 for
chr19:27126935-27131955 for	chr19:27142915-27147935 for
chr19:26956710-26961993 for	chr19:27142652-27147935 for
chr19:28126201-28131977 for	chr19:28150673-28156449 for
chr19:28139278-28144943 for	chr19:28167150-28172815 for
chr19:28248327-28255833 for	chr19:28269392-28276898 for
chr19:29421114-29428475 for	chr19:29429445-29436806 for
chr19:29694499-29705619 for	chr19:29699932-29711052 for
chr19:29699932-29705619 for	chr19:29705365-29711052 for
chr19:30246289-30251856 for	chr19:30250917-30256484 for
chr19:38873722-38881516 for	chr19:38881302-38889096 for
chr19:38948958-38956486 for	chr19:38954002-38961530 for
chr19:40004285-40009497 for	chr19:40009341-40014553 for
chr19:50813852-50820430 for	chr19:50824581-50831159 for
chr19:50853157-50859106 for	chr19:50858510-50864459 for
chr19:53202681-53207865 for	chr19:53208074-53213258 for
chr2:86726532-86736748 for	chr2:87067184-87077400 rev
chr2:89326920-89334920 for	chr2:90412274-90420274 rev
chr2:89445160-89450993 for	chr2:90290435-90296268 rev
chr2:89497685-89503191 for	chr2:90238264-90243770 rev
chr2:89537060-89542516 for	chr2:90198824-90204280 rev
chr2:89543217-89550913 for	chr2:90190422-90198118 rev
chr2:89551424-89578601 for	chr2:90162734-90189911 rev
chr2:89578579-89584769 for	chr2:90156567-90162757 rev
chr2:89609361-89614721 for	chr2:90126640-90132000 rev
chr2:89614722-89621482 for	chr2:90119879-90126639 rev
chr2:89626621-89632868 for	chr2:90108488-90114735 rev
chr2:89646377-89654362 for	chr2:90087008-90094993 rev
chr2:89654363-89664391 for	chr2:90076979-90087007 rev
chr2:89670558-89678952 for	chr2:90062420-90070814 rev
chr2:89678953-89684434 for	chr2:90056938-90062419 rev
chr2:89767639-89781035 for	chr2:89920321-89933717 rev
chr2:89784478-89803447 for	chr2:89897951-89916920 rev
chr2:89807443-89846263 for	chr2:89855136-89893956 rev
chr2:89948016-89953961 for	chr2:89994922-90000867 for
chr2:89950235-89958390 for	chr2:90000635-90008790 for
chr2:89961798-89977645 for	chr2:89985251-90001098 for
chr2:89978733-89987704 for	chr2:90005680-90014651 for
chr2:91198636-91226137 for	chr2:91224915-91252416 for
chr2:92002947-92009348 for	chr2:92222790-92229191 rev
chr2:92009355-92016508 for	chr2:92215637-92222790 rev
chr2:93067403-93073209 for	chr2:93073183-93078989 for
chr2:93472500-93477700 for	chr2:93495744-93500944 for
chr2:93612947-93620740 for	chr2:93622458-93630251 for
chr2:93808226-93817100 for	chr2:93817061-93825935 for
chr2:93984744-93991230 for	chr2:94261978-94268464 for
chr2:94038156-94057275 for	chr2:94083684-94102803 for
chr2:94050784-94058374 for	chr2:94102769-94110359 for
chr2:94096312-94102803 for	chr2:94102769-94109260 for
chr2:94061102-94080679 for	chr2:94113087-94132664 for
chr2:94114650-94121226 for	chr2:94134696-94141272 for
chr2:94329231-94336744 for	chr2:94336708-94344221 for
chr2:94050300-94055494 for	chr2:94095828-94101022 for
chr2:94095828-94101022 for	chr2:94340440-94345634 for
chr2:94506557-94514081 for	chr2:94514031-94521555 for
chr2:94706569-94714264 for	chr2:94982168-94989863 rev
chr2:94735845-94742291 for	chr2:94954134-94960580 rev
chr2:94742994-94748026 for	chr2:94948396-94953428 rev
chr2:94750253-94758069 for	chr2:94938362-94946178 rev
chr2:94763421-94770506 for	chr2:94925919-94933004 rev
chr2:94779834-94786147 for	chr2:94910023-94916336 rev
chr2:94786147-94809594 for	chr2:94886574-94910021 rev
chr2:94817320-94829381 for	chr2:94866785-94878846 rev
chr2:94834551-94840768 for	chr2:94855398-94861615 rev
chr2:95942396-95966698 for	chr2:96123129-96147431 rev
chr2:95971435-95983666 for	chr2:96106161-96118392 rev
chr2:96284784-96290660 for	chr2:96547155-96553031 rev
chr2:96290661-96298906 for	chr2:96538909-96547154 rev
chr2:96299248-96304986 for	chr2:96532829-96538567 rev
chr2:97758718-97766096 for	chr2:97955915-97963293 rev
chr2:97766097-97771381 for	chr2:97950630-97955914 rev
chr2:97781805-97789450 for	chr2:97932560-97940205 rev
chr2:97789419-97795609 for	chr2:97926407-97932597 rev
chr2:97799370-97804840 for	chr2:97916913-97922383 rev
chr2:97808836-97815833 for	chr2:97905924-97912921 rev
chr2:97825690-97833389 for	chr2:97888367-97896066 rev
chr2:97833381-97841548 for	chr2:97880209-97888376 rev
chr2:97841496-97850152 for	chr2:97871601-97880257 rev
chr2:130947537-130957220 for	chr2:131031311-131040994 rev
chr2:130957221-130968673 for	chr2:131019858-131031310 rev
chr2:130968954-130988702 for	chr2:130999829-131019577 rev
chr2:159252177-159258211 for	chr22:29153492-29159526 rev
chr20:26462340-26468785 for	chr20:26488177-26494622 for
chr20:26469714-26475650 for	chr20:26477873-26483809 for
chr20:26513275-26520138 for	chr20:26520073-26526936 for
chr20:26771076-26779328 for	chr20:26813227-26821479 for
chr20:26791362-26801127 for	chr20:26836233-26845998 for
chr20:26980581-26986246 for	chr20:26986017-26991682 for
chr20:27153253-27163911 for	chr20:27188252-27198910 for
chr20:27299986-27306624 for	chr20:27308143-27314781 for
chr20:27470592-27476833 for	chr20:27496089-27502330 for
chr20:27480762-27488426 for	chr20:27506259-27513923 for
chr20:27631327-27644937 for	chr20:27646278-27659888 for
chr20:27751321-27759158 for	chr20:27821323-27829160 for
chr20:27911178-27916549 for	chr20:27913897-27919268 for
chr20:28113583-28119984 for	chr20:28119363-28125764 for
chr20:28213715-28223303 for	chr20:28246343-28255931 for
chr20:28223304-28228958 for	chr20:28255932-28261586 for
chr20:28283184-28293873 for	chr20:28329065-28339754 for
chr20:28293874-28300218 for	chr20:28339755-28346099 for
chr20:28300219-28310187 for	chr20:28346100-28356068 for
chr20:28307469-28312906 for	chr20:28342474-28347911 for
chr20:28310352-28317504 for	chr20:28356233-28363385 for
chr20:28505486-28512762 for	chr20:28508205-28515481 for
chr20:28515628-28524297 for	chr20:28524127-28532796 for
chr20:28553949-28560057 for	chr20:28840303-28846411 for
chr20:28570335-28575335 for	chr20:28576115-28581115 for
chr20:28593426-28599931 for	chr20:28598864-28605369 for
chr20:28600964-28606401 for	chr20:28603683-28609120 for
chr20:28506294-28511374 for	chr20:28663165-28668245 for
chr20:28632230-28639070 for	chr20:28663165-28670005 for
chr20:28644454-28652341 for	chr20:28652953-28660840 for
chr20:28631891-28637310 for	chr20:28662826-28668245 for
chr20:28664513-28673683 for	chr20:28669951-28679121 for
chr20:28750651-28757206 for	chr20:28769684-28776239 for
chr20:28757871-28766639 for	chr20:28776904-28785672 for
chr20:28815970-28825942 for	chr20:28829907-28839879 for
chr20:28875028-28880465 for	chr20:28880466-28885903 for
chr20:28927970-28933405 for	chr20:28933408-28938843 for
chr20:29257381-29264592 for	chr20:29264549-29271760 for
chr20:29372177-29377337 for	chr20:29379688-29384848 for
chr20:31739965-31745519 for	chr20:31808133-31813687 for
chr20:31798136-31804276 for	chr20:31807367-31813507 for
chr20:31810433-31817615 for	chr20:31813508-31820690 for
chr20:31814843-31820929 for	chr20:31824068-31830154 for
chr20:31844437-31860789 for	chr20:31857775-31874127 for
chr20:31857775-31864283 for	chr20:31862221-31868729 for
chr20:31855521-31860789 for	chr20:31868859-31874127 for
chr20:31868859-31875754 for	chr20:31886641-31893536 for
chr20:31847452-31855391 for	chr20:31860790-31868729 for
chr20:31860790-31866862 for	chr20:31887464-31893536 for
chr20:31872237-31877621 for	chr20:31885573-31890957 for
chr20:31865236-31872245 for	chr20:31874128-31881137 for
chr20:31851898-31858907 for	chr20:31874128-31881137 for
chr20:31875755-31885582 for	chr20:31893537-31903364 for
chr20:31854453-31859837 for	chr20:31898910-31904294 for
chr20:49645465-49652517 for	chr20:49650154-49657206 for
chr20:49652518-49658949 for	chr20:49657207-49663638 for
chr21:74387-84436 for	chr21:80716-90765 for
chr21:78066-83236 for	chr21:84395-89565 for
chr21:140127-147040 for	chr21:154859-161772 for
chr21:174922-180393 for	chr21:182062-187533 for
chr21:555611-562039 for	chr22:1921532-1927960 for
chr21:756678-763532 for	chr21:766611-773465 for
chr21:1426470-1431625 for	chr21:1477114-1482269 for
chr21:1431626-1438090 for	chr21:1482270-1488734 for
chr21:1438091-1444430 for	chr21:1488735-1495074 for
chr21:1447849-1459149 for	chr21:1498493-1509793 for
chr21:2894073-2910257 for	chr22:4579405-4595589 for
chr21:3054933-3061161 for	chr22:4740395-4746623 for
chr21:3078786-3084267 for	chr22:4764233-4769714 for
chr21:10723205-10732208 for	chr21:10732172-10741175 for
chr21:10932972-10947305 for	chr21:10988296-11002629 for
chr21:10950928-10956724 for	chr21:10978580-10984376 for
chr21:10956687-10964233 for	chr21:10984334-10991880 for
chr21:10964209-10975258 for	chr21:10991876-11002925 for
chr21:10936552-10947305 for	chr21:10991876-11002629 for
chr21:10978706-10984604 for	chr21:11006373-11012271 for
chr21:10951054-10956724 for	chr21:11006373-11012043 for
chr21:11727481-11734051 for	chr21:11734961-11741531 for
chr21:11770308-11775936 for	chr21:11774728-11780356 for
chr21:11829124-11836136 for	chr21:11838471-11845483 for
chr21:11857712-11864324 for	chr21:11861451-11868063 for
chr21:11869108-11875124 for	chr21:11902920-11908936 for
chr21:11880851-11886614 for	chr21:11893253-11899016 for
chr21:11894496-11899763 for	chr21:11901634-11906901 for
chr21:11954655-11963165 for	chr21:11980835-11989345 for
chr21:11967552-11981267 for	chr21:11969422-11983137 for
chr21:11969422-11981267 for	chr21:11971292-11983137 for
chr21:11984518-11990255 for	chr21:11990125-11995862 for
chr22:76264-82306 for	chr22:140019-146061 for
chr22:82283-90699 for	chr22:107721-116137 for
chr22:86814-97441 for	chr22:99539-110166 for
chr22:102963-109266 for	chr22:141288-147591 for
chr22:210569-218196 for	chr22:216866-224493 for
chr22:330467-338805 for	chr22:338724-347062 for
chr22:665378-670665 for	chr22:678718-684005 for
chr22:955169-961853 for	chr22:967485-974169 for
chr22:1110183-1118092 for	chr22:1113993-1121902 for
chr22:1255202-1261278 for	chr22:1260783-1266859 for
chr22:1506334-1523022 for	chr22:1522875-1539563 for
chr22:1566914-1572400 for	chr22:1572631-1578117 for
chr22:2185497-2191441 for	chr22:2194005-2199949 for
chr22:2750700-2756757 for	chr22:2756713-2762770 for
chr22:2831566-2836812 for	chr22:2851164-2856410 for
chr22:2801322-2806568 for	chr22:2851164-2856410 for
chr22:2802671-2809832 for	chr22:2809763-2816924 for
chr22:2817221-2823078 for	chr22:2842638-2848495 for
chr22:2823040-2828897 for	chr22:2842638-2848495 for
chr22:2818386-2829524 for	chr22:2837984-2849122 for
chr22:2829525-2836938 for	chr22:2849123-2856536 for
chr22:3239978-3246044 for	chr22:3254088-3260154 for
chr22:3935254-3941633 for	chr22:3941859-3948238 for
chr22:3970638-3984861 for	chr22:3977231-3991454 for
chr22:3988954-3994223 for	chr22:4067322-4072591 for
chr22:3994124-4008704 for	chr22:4007326-4021906 for
chr22:4027632-4033785 for	chr22:4047012-4053165 for
chr22:4037509-4047712 for	chr22:4056885-4067088 for
chr22:3998203-4006695 for	chr22:4089630-4098122 for
chr22:4011405-4019897 for	chr22:4089630-4098122 for
chr22:6890836-6898161 for	chr22:6898096-6905421 for
chr22:7096746-7103748 for	chr22:7101618-7108620 for
chr22:7527152-7536419 for	chr22:7652581-7661848 rev
chr22:7598191-7604383 for	chr22:7604354-7610546 for
chr22:8521373-8528356 for	chr22:8524797-8531780 for
chr22:8612239-8619431 for	chr22:8619093-8626285 for
chr22:8613446-8624839 for	chr22:8692267-8703660 for
chr22:8623192-8631100 for	chr22:8777387-8785295 for
chr22:8650063-8655174 for	chr22:8674052-8679163 for
chr22:8656917-8661943 for	chr22:8711748-8716774 for
chr22:8716775-8723436 for	chr22:8720202-8726863 for
chr22:8808099-8816980 for	chr22:8825223-8834104 for
chr22:10046973-10053413 for	chr22:10050398-10056838 for
chr22:10191932-10196963 for	chr22:10195357-10200388 for
chr22:10767971-10773415 for	chr22:10777487-10782931 for
chr22:12836209-12843075 for	chr22:12856482-12863348 for
chr22:12913848-12919395 for	chr22:12945194-12950741 for
chr22:12929298-12935559 for	chr22:12963370-12969631 for
chr22:13174225-13179796 for	chr22:13183771-13189342 for
chr22:13203388-13214344 for	chr22:13862084-13873040 for
chr22:13214345-13220408 for	chr22:13226617-13232680 for
chr22:13214855-13224368 for	chr22:13873551-13883064 for
chr22:13533627-13543140 for	chr22:13873551-13883064 for
chr22:13534791-13539869 for	chr22:13874715-13879793 for
chr22:13225564-13230642 for	chr22:13874715-13879793 for
chr22:13231744-13237584 for	chr22:13890440-13896280 for
chr22:13215251-13220408 for	chr22:13227523-13232680 for
chr22:13227523-13232976 for	chr22:13873947-13879400 for
chr22:13246289-13253089 for	chr22:13862716-13869516 for
chr22:13204020-13210820 for	chr22:13862716-13869516 for
chr22:13250032-13256491 for	chr22:13270489-13276948 for
chr22:13256492-13270018 for	chr22:13276949-13290475 for
chr22:13296066-13303157 for	chr22:13302886-13309977 for
chr22:13305894-13311736 for	chr22:13601478-13607320 for
chr22:13352960-13358787 for	chr22:13636270-13642097 for
chr22:13359077-13366967 for	chr22:13642387-13650277 for
chr22:13376237-13382647 for	chr22:13643867-13650277 for
chr22:13360557-13368292 for	chr22:13643867-13651602 for
chr22:13383973-13389412 for	chr22:13660807-13666246 for
chr22:13651603-13657596 for	chr22:13660807-13666800 for
chr22:13389008-13394255 for	chr22:13426505-13431752 for
chr22:13363041-13368355 for	chr22:13390652-13395966 for
chr22:13395974-13403341 for	chr22:13662240-13669607 for
chr22:13404193-13411823 for	chr22:13422941-13430571 for
chr22:13438224-13444460 for	chr22:13697674-13703910 for
chr22:13456473-13462772 for	chr22:13718650-13724949 for
chr22:13467647-13478429 for	chr22:13729824-13740606 for
chr22:13492154-13497340 for	chr22:13752967-13758153 for
chr22:13500597-13506124 for	chr22:13504689-13510216 for
chr22:13508208-13519463 for	chr22:13766293-13777548 for
chr22:13517761-13531641 for	chr22:13857685-13871565 for
chr22:13531642-13566076 for	chr22:13871566-13906000 for
chr22:13248564-13253837 for	chr22:13570061-13575334 for
chr22:13588284-13594377 for	chr22:13611130-13617223 for
chr22:13587442-13593426 for	chr22:13605174-13611158 for
chr22:13626508-13631893 for	chr22:13629236-13634621 for
chr22:13650364-13657042 for	chr22:13659568-13666246 for
chr22:13759475-13768677 for	chr22:13812669-13821871 for
chr22:14128300-14135729 for	chr22:14135120-14142549 for
chr22:14165598-14180440 for	chr22:14191511-14206353 for
chr22:14261235-14266893 for	chr22:14266691-14272349 for
chr22:14335834-14342102 for	chr22:14349473-14355741 for
chr22:14440490-14453587 for	chr22:14463678-14476775 for
chr22:14489118-14494453 for	chr22:14494574-14499909 for
chr22:14870644-14876381 for	chr22:14876099-14881836 for
chr22:14903729-14911740 for	chr22:14910549-14918560 for
chr22:15059818-15066605 for	chr22:15062546-15069333 for
chr22:15278985-15286131 for	chr22:15285463-15292609 for
chr22:15561053-15567314 for	chr22:15567192-15573453 for
chr22:19042719-19054396 for	chr22:19177910-19189587 rev
chr22:20750792-20763812 for	chr22:20751605-20764625 for
chr22:20755683-20762137 for	chr22:20756496-20762950 for
chr22:20754870-20761324 for	chr22:20756496-20762950 for
chr22:21851748-21864824 for	chr22:21954568-21967644 rev
chr22:21874948-21880934 for	chr22:21938458-21944444 rev
chr3:90840999-90847102 for	chr3:90849494-90855597 for
chr3:91166316-91173589 for	chr3:91169714-91176987 for
chr3:91388097-91393450 for	chr3:91401693-91407046 for
chr3:91397729-91402961 for	chr3:91401128-91406360 for
chr3:91413159-91418689 for	chr3:91416558-91422088 for
chr3:91402962-91408914 for	chr3:91416558-91422510 for
chr3:91412113-91418689 for	chr3:91415512-91422088 for
chr3:91466798-91473057 for	chr3:91472573-91478832 for
chr3:91786151-91806631 for	chr3:91805715-91826195 for
chr3:91848741-91857049 for	chr3:91854525-91862833 for
chr3:91860682-91866378 for	chr3:91866469-91872165 for
chr3:91880491-91892060 for	chr3:91892061-91903630 for
chr3:92039311-92044729 for	chr3:92047305-92052723 for
chr3:92190897-92197659 for	chr3:92202461-92209223 for
chr3:92242745-92249401 for	chr3:92286110-92292766 for
chr3:92260547-92268427 for	chr3:92303912-92311792 for
chr3:92270824-92279419 for	chr3:92343098-92351693 for
chr3:92294509-92299522 for	chr3:92329200-92334213 for
chr3:92260190-92265249 for	chr3:92300664-92305723 for
chr3:92306803-92313731 for	chr3:92335712-92342640 for
chr3:92311489-92318876 for	chr3:92334616-92342003 for
chr3:92339751-92344808 for	chr3:92342642-92347699 for
chr3:92273259-92279077 for	chr3:92345533-92351351 for
chr3:92345570-92351351 for	chr3:92348461-92354242 for
chr3:92348461-92357133 for	chr3:92354243-92362915 for
chr3:92351352-92357844 for	chr3:92360025-92366517 for
chr3:92357134-92362915 for	chr3:92360025-92365806 for
chr3:92273829-92279419 for	chr3:92346103-92351693 for
chr3:92346103-92351884 for	chr3:92389468-92395249 for
chr3:92540141-92546078 for	chr3:92547801-92553738 for
chr3:92621474-92627536 for	chr3:92664136-92670198 for
chr3:92672863-92682113 for	chr3:92854106-92863356 for
chr3:92823370-92829716 for	chr3:92862482-92868828 for
chr3:92926419-92935356 for	chr3:92950108-92959045 for
